0015,000,005,000,000,07
0020,000,004,000,000,02
0012,000,010,000,000,03
0005,001,003,001,001,01
0003,002,002,000,000,01
0070,003,010,000,000,00
0025,004,005,000,000,00
0010,005,005,001,001,06

0015,000,006,000,000,07
0020,001,007,000,000,07
0070,001,003,001,002,07

0010,000,003,002,003,000
0015,004,008,004,004,000
0025,002,002,001,002,000

0005,001,004,005,004,000
0010,000,008,002,004,000
0020,005,003,005,001,000

0515,000,005,000,000,07
0020,000,004,000,000,02
0012,000,010,000,000,03
0515,003,005,000,000,07
0515,004,005,000,000,07
0515,000,005,000,000,07
0020,000,004,000,000,02
0012,000,010,000,000,03
0515,003,005,000,000,07
0515,004,005,000,000,07

0015,000,005,000,000,07
0020,000,004,000,000,02
0012,000,010,000,000,03
0005,001,003,001,001,01
0003,002,002,000,000,01
0070,003,010,000,000,16
0025,004,005,000,000,00
0010,005,005,001,001,15

0015,000,002,000,000,01
0025,001,001,000,000,06
0015,001,002,001,001,12
0010,007,001,000,000,03
